window_id,activity,start_time,end_time,y_min,y_spectral_centroid,z_max,z_median,y_q25,y_spectral_entropy,y_kurtosis,y_std,z_q25,y_max,z_energy,z_std,z_range,y_energy,y_range,y_var,y_high_freq_energy,smv,z_spectral_energy,z_q75
10,walking,1761222776733198600,1761222778694585000,5.227050304412842,2.0286551750151687,2.719050168991089,1.1860500574111938,5.946975231170654,2.2965321903839877,-0.051354802178794845,1.2777583137060144,1.072950005531311,9.808950424194336,285.75817768453646,0.84076772295197,3.5061001777648926,5150.339546965661,4.581900119781494,1.6326663082448376,112.39056153596441,7.4126443890066325,24825.465578803247,1.9914751052856445
11,walking,1761222777713850400,1761222779675125000,5.227050304412842,2.004909549888046,2.740950107574463,1.1299500465393066,6.529050350189209,2.3673208251714413,0.30941220627932786,1.1393503287909625,1.0725000500679016,9.808950424194336,233.35913329853935,0.707927353682897,2.742000107653439,5127.406199195159,4.581900119781494,1.2981191717160745,95.41756006179178,7.33221728864124,20641.69620135797,1.8949500918388367
12,walking,1761222778694585000,1761222780655819000,5.571000099182129,1.6901661698086532,2.740950107574463,1.170000076293945,6.531000137329102,2.062190201226956,1.9076714345875878,0.8383826655112523,1.1080501079559326,9.808050155639648,257.31139020129507,0.6296380158557856,2.742000107653439,5016.356444843495,4.2370500564575195,0.7028854938297524,67.25110124537821,7.334468782091646,23529.517196746536,1.8015000820159912
13,jumping,1761225174188477200,1761225176141010700,2.6620500087738037,2.120986628309793,6.955050468444824,2.508000135421753,6.092025279998779,2.813369323811274,0.9033910509840353,1.6735888816361517,1.7424750328063965,10.840950965881348,894.5207275912869,1.5480354321513385,6.9561004685238,4618.320389153721,8.178900957107544,2.800899744736145,87.24109756427994,7.295856910742083,76807.28878279614,2.530050039291382
14,jumping,1761225175159707000,1761225177122239500,-4.771050453186035,3.1478587007288255,18.02400016784668,3.2560501098632812,5.381475448608398,3.8117112541126463,2.371244108801715,4.049155966388904,2.509050130844116,17.77695083618164,3720.9310224810647,4.146785530294494,21.397050380706787,4862.069570072272,22.548001289367676,16.395664040142858,414.7156243000586,8.311668666848178,284101.40812505694,6.954525470733643
15,jumping,1761225176141010700,1761225178103514600,-4.771050453186035,2.3618830817083416,18.02400016784668,2.4150002002716064,1.5414750576019287,3.597199427617325,1.2893985856248484,6.324930139434957,0.9774750471115112,26.75895118713379,4664.633741630279,4.898078697011639,21.397050380706787,7704.286577039752,31.530001640319824,40.0047412687327,50.59683653530382,9.005249186367898,344225.09998788923,7.737525463104248
16,jumping,1761225177122239500,1761225179084678100,-1.5150001049041748,3.978068551605727,15.15195083618164,2.7940502166748047,5.439975261688232,4.054592037830676,2.676342543177692,5.429279582246587,2.4120001792907715,26.75895118713379,4079.615006104571,4.033797589665088,15.153000836260617,8105.117266327111,28.273951292037964,29.477076782199674,1483.7658155085849,9.218824383049059,324131.67249945085,7.202025413513184
17,jumping,1761225178103514600,1761225180065873700,-6.664950370788574,2.3774281145920626,15.82200050354004,3.2569501399993896,2.279025077819824,3.5527461875479824,1.288523774978084,6.443331110828937,1.7509500980377197,26.24205207824707,3993.546648470377,4.362292106065804,18.08400058746338,7634.484300863324,32.907002449035645,41.516515803776066,83.84163108279415,8.81170201627073,302105.04411001236,7.202025413513184
18,still,1761227772397217800,1761227774348785000,-0.0010500000789761,13.38084392450358,9.808950424194336,9.807000160217283,0.0,4.543163755209788,-0.461299632204891,0.0006589429099811732,9.805950164794922,0.0010500000789761,9521.53086960773,0.0013899079133817707,0.0038995742797851562,4.299750646814282e-05,0.0021000001579522,4.3420575861445664e-07,0.0005873412319196618,9.806991303543779,942631.5466150717,9.808050155639648
19,still,1761227773367982600,1761227775329593000,-0.0010500000789761,14.646636048151832,9.808950424194336,9.807000160217283,0.0,4.200123475418687,-0.5249999999999999,0.0006674238626724191,9.805950164794922,0.0010500000789761,9521.548532381472,0.0014076501535896443,0.0038995742797851562,4.410000663399264e-05,0.0021000001579522,4.454546124645721e-07,0.0006240096872392907,9.80700039830087,942633.2949593714,9.808050155639648
20,still,1761227774348785000,1761227776310296800,-0.0010500000789761,13.38084392450358,9.808950424194336,9.807000160217283,0.0,4.543163755209789,-0.461299632204891,0.0006589429099811732,9.805950164794922,0.0010500000789761,9521.586762354564,0.0013938083605175703,0.0038995742797851562,4.299750646814282e-05,0.0021000001579522,4.3420575861445664e-07,0.0005873412319196619,9.80702008716815,942637.0799363749,9.808050155639648
21,still,1761227775329593000,1761227777291249700,-0.0010500000789761,14.237634841292254,9.808950424194336,9.807000160217283,0.0,4.283467084374811,-0.5249999999999999,0.0006674238626724191,9.805950164794922,0.0010500000789761,9521.52793666843,0.0014036503437700573,0.0038995742797851562,4.410000663399264e-05,0.0021000001579522,4.454546124645721e-07,0.000588113148569295,9.806989792286503,942631.2560738708,9.808050155639648
22,still,1761227776310296800,1761227778272225000,-0.0010500000789761,14.237634841292257,9.808950424194336,9.807000160217283,0.0,4.283467084374811,-0.524999999999999,0.0006674238626724191,9.805950164794922,0.0010500000789761,9521.569125889531,0.0014036474322579008,0.0038995742797851562,4.410000663399263e-05,0.0021000001579522,4.4545461246457206e-07,0.0005881131485692951,9.807011004315237,942635.3338068037,9.808050155639648
